offline_id,video_link,category,comments,
1b34ca14-5fba-4667-a52a-58284050b323,https://drive.google.com/file/d/1Om-nDvtkP5YrOBccsahi8tL6MxtBHDEd/view,low,,Migh be the lane Line issue 
8a9dc84b-25df-4a05-a4d7-21759818ff6a,https://drive.google.com/file/d/1TMcEl-vCvuAiPt_VW_tR6zfHz-isF62g/view,med,"good med, weak high",
3e35603d-bca2-403e-9c3b-197e4ee1e145,https://drive.google.com/file/d/1AXCpeDwFA9yXGZfL4ayJNjlSTAZSR9ty/view,med,,This might be because of the Lane Lines
68a6562f-31eb-4625-b895-b02b4afcfb3e,https://drive.google.com/file/d/1e0773TKgbtL3ErnlUSekySsBKLyyE2XX/view,med,maybe high,
00fbe656-7517-4841-bba8-d31196d92d2d,https://drive.google.com/file/d/1CNWO0eVK_9-WYay-0T0WluO21S4UD4Tp/view,med,"definitely FP, letting vehicles pass",
eba6f967-0afa-433e-8835-09622901f066,https://drive.google.com/file/d/1DUymOFijgKvLbzT804g-3335Avoh83qz/view,low,,
bf884f11-2d12-4c70-8f73-c17aa4d46432,https://drive.google.com/file/d/1BQ8ehCDBBRcnoOYEHgFVL4AX-q54xIsw/view,low,very low,
d9c37407-6235-480d-a790-563635d75b70,https://drive.google.com/file/d/1M0dxhqKMtyK9wUzJSsrHE1QhdKK5SzW0/view,low,slight wiggle,
37276a30-44c9-454f-bc55-ce64f304a23f,https://drive.google.com/file/d/1xFCVzFphl-8RaKQcXcPI6eYXopaqF6oj/view,low,,
16519612-0e86-4973-bd30-52669c38b52a,https://drive.google.com/file/d/127I3SmEutO3YF90--9kcfTKi-je7dHjp/view,low,"maybe medium, special case of turning",I would have my vote on the low as the slight variation is due to the curve 
f5df1947-ef74-4413-90be-1d56c58a6603,https://drive.google.com/file/d/16kRRiLlcGZ2kTkXKDH0xxf8BA3Dflv2s/view,high,,
03908f76-593e-4e28-bf9c-fd18ab900b04,https://drive.google.com/file/d/1SQupGuhy8TTaUKnw75Uw7Wlaq7upo1mF/view,med,,
872c6e35-d235-432e-840f-e174cb49963b,https://drive.google.com/file/d/1JMiC4ywWx7QmpOLHNFJrih94NNP_iJB3/view,high,"VERY high, video too short",
6033ee54-54fd-4268-bc16-00286b229135,https://drive.google.com/file/d/1pIKvLx9t1UZQuegfHbZ8pzuEdxQYOi18/view,high,,
f594261a-4e77-4a5c-873e-514052f1881e,https://drive.google.com/file/d/15ocWaQIRx4H1Jh9fgjhUq-hanHlOKO_-/view,high,the driver might be trying to let cars pass on the left. possible FP,Intems of lane swerving i would i dentify it as med but imp as the vehicle as the boundry of the lane line but the swerving is not as intense as in the event above
